fecha,volumen
2020-09-23,62.48
2020-09-24,62.45
2020-09-25,62.2
2020-09-26,62.06
2020-09-27,61.95
2020-09-28,61.85
2020-09-29,61.7
2020-09-30,61.56
2020-10-01,61.46
2020-10-04,61.11
2020-10-05,61.04
2020-10-06,60.9
2020-10-07,60.83
2020-10-08,60.76
2020-10-09,60.65
2020-10-10,60.59
2020-10-11,60.41
2020-10-13,60.16
2020-10-14,60.02
2020-10-15,59.85
2020-10-16,59.72
2020-10-21,60.73
2020-10-22,61.39
2020-10-23,62.66
2020-10-24,63.12
2020-10-25,63.45
2020-10-26,63.91
2020-10-27,64.12
2020-10-28,64.3
2020-10-29,64.44
2020-10-30,64.52
2020-10-31,64.63
2020-11-01,64.66
2020-11-03,64.74
2020-11-04,64.7
2020-11-05,64.74
2020-11-06,65.24
2020-11-07,66.29
2020-11-08,67.25
2020-11-09,67.95
2020-11-10,68.43
2020-11-11,68.81
2020-11-12,69.1
2020-11-13,69.33
2020-11-14,69.51
2020-11-15,69.7
2020-11-16,69.85
2020-11-17,69.92
2020-11-18,70.07
2020-11-19,70.15
2020-11-20,70.26
2020-11-21,70.3
2020-11-22,70.3
2020-11-23,70.3
2020-11-24,70.3
2020-11-25,70.34
2020-11-26,70.52
2020-11-27,70.75
2020-11-28,71.2
2020-11-29,71.44
2020-11-30,71.59
2020-12-01,71.7
2020-12-02,71.89
2020-12-03,71.67
2020-12-04,71.77
2020-12-05,71.77
2020-12-06,71.89
2020-12-07,71.92
2020-12-08,71.55
2020-12-09,71.67
2020-12-10,72.88
2020-12-11,74.55
2020-12-12,77.92
2020-12-13,79.28
2020-12-14,80.2
2020-12-15,80.85
2020-12-16,81.42
2020-12-17,81.88
2020-12-18,82.16
2020-12-19,81.72
2020-12-20,81.26
2020-12-21,80.79
2020-12-22,80.27
2020-12-23,80.35
2020-12-24,80.36
2020-12-25,80.61
2020-12-26,80.94
2020-12-27,80.97
2020-12-28,81.01
2020-12-29,81.06
2020-12-30,81.06
2020-12-31,81.01
2021-01-01,81.1
2021-01-02,81.01
2021-01-03,81.06
2021-01-04,81.06
2021-01-05,81.01
2021-01-06,80.89
2021-01-07,80.81
2021-01-08,80.65
2021-01-09,80.85
2021-01-10,80.94
2021-01-11,80.81
2021-01-12,80.73
2021-01-13,80.69
2021-01-14,80.61
2021-01-15,80.61
2021-01-16,80.56
2021-01-17,80.53
2021-01-18,80.53
2021-01-19,80.4
2021-01-21,80.56
2021-01-22,81.17
2021-01-23,81.55
2021-01-26,82.99
2021-01-27,84
2021-01-30,85.04
2021-01-31,84.08
2021-02-01,84.12
2021-02-03,83.83
2021-02-04,83.49
2021-02-05,83.02
2021-02-06,82.69
2021-02-07,82.44
2021-02-08,82.19
2021-02-09,82.44
2021-02-10,83.28
2021-02-11,83.41
2021-02-12,83.49
2021-02-13,83.45
2021-02-14,83.15
2021-02-15,82.73
2021-02-16,82.31
2021-02-17,81.76
2021-02-18,81.43
2021-02-19,81.14
2021-02-20,81.06
2021-02-21,81.01
2021-02-22,81.17
2021-02-23,81.34
2021-02-24,81.46
2021-02-25,81.55
2021-02-26,81.63
2021-02-27,81.8
2021-02-28,82.02
2021-03-01,82.39
2021-03-02,82.65
2021-03-03,82.78
2021-03-05,83.02
2021-03-06,83.19
2021-03-07,83.24
2021-03-08,83.32
2021-03-09,83.45
2021-03-10,83.54
2021-03-11,83.61
2021-03-12,83.7
2021-03-13,83.66
2021-03-14,83.74
2021-03-15,83.74
2021-03-16,83.78
2021-03-17,83.78
2021-03-18,84
2021-03-19,83.91
2021-03-20,84.08
2021-03-21,84.08
2021-03-22,84.08
2021-03-23,84.08
2021-03-24,84.08
2021-03-25,84.04
2021-03-26,84
2021-03-27,83.91
2021-03-28,83.91
2021-03-29,83.87
2021-03-30,83.19
2021-03-31,83.15
2021-04-01,83.07
2021-04-02,83.02
2021-04-03,82.98
2021-04-04,82.98
2021-04-05,82.98
2021-04-06,82.94
2021-04-07,82.86
2021-04-08,82.78
2021-04-09,82.73
2021-04-10,82.65
2021-04-11,82.69
2021-04-12,82.65
2021-04-13,82.61
2021-04-14,82.48
2021-04-15,82.61
2021-04-16,82.61
2021-04-17,82.44
2021-04-18,82.27
2021-04-19,82.23
2021-04-20,82.19
2021-04-21,82.1
2021-04-22,82.1
2021-04-23,82.19
2021-04-24,82.15
2021-04-25,82.1
2021-04-26,82.19
2021-04-27,82.23
2021-04-28,82.35
2021-04-29,82.35
2021-04-30,82.35
2021-05-01,82.35
2021-05-02,82.35
2021-05-03,82.27
2021-05-04,82.39
2021-05-05,82.48
2021-05-06,82.48
2021-05-07,82.39
2021-05-08,82.31
2021-05-09,82.23
2021-05-10,82.06
2021-05-11,81.98
2021-05-12,82.02
2021-05-13,82.06
2021-05-14,81.98
2021-05-15,81.85
2021-05-16,81.76
2021-05-17,81.72
2021-05-18,81.59
2021-05-19,81.39
2021-05-20,81.26
2021-05-21,81.14
2021-05-22,80.89
2021-05-23,80.65
2021-05-24,80.49
2021-05-25,80.33
2021-05-26,80.2
2021-05-27,80.08
2021-05-28,79.96
2021-05-29,79.83
2021-05-30,79.72
2021-05-31,79.51
2021-06-01,79.44
2021-06-02,79.28
2021-06-03,79.12
2021-06-04,78.91
2021-06-05,78.72
2021-06-06,78.56
2021-06-07,78.44
2021-06-08,78.28
2021-06-09,78.07
2021-06-10,77.88
2021-06-11,77.64
2021-06-12,77.44
2021-06-13,77.25
2021-06-14,77.04
2021-06-15,76.89
2021-06-16,76.66
2021-06-17,76.45
2021-06-18,76.38
2021-06-19,76.22
2021-06-20,76.02
2021-06-21,75.83
2021-06-22,75.64
2021-06-23,75.44
2021-06-24,75.25
2021-06-25,75.13
2021-06-26,74.97
2021-06-27,74.78
2021-06-28,74.51
2021-06-29,74.36
2021-06-30,74.19
2021-07-01,74
2021-07-02,73.73
2021-07-03,73.5
2021-07-04,73.23
2021-07-05,73
2021-07-06,72.73
2021-07-07,72.39
2021-07-08,72.16
2021-07-09,72
2021-07-10,71.82
2021-07-11,71.55
2021-07-12,71.32
2021-07-13,70.9
2021-07-14,70.67
2021-07-15,70.42
2021-07-16,70.22
2021-07-17,70
2021-07-18,69.81
2021-07-19,69.51
2021-07-20,69.28
2021-07-21,69.02
2021-07-22,68.81
2021-07-23,68.54
2021-07-24,68.2
2021-07-25,67.95
2021-07-26,67.69
2021-07-27,67.47
2021-07-28,67.21
2021-07-29,67.03
2021-07-30,66.77
2021-07-31,66.52
2021-08-01,66.15
2021-08-02,65.94
2021-08-03,65.75
2021-08-04,65.49
2021-08-05,65.24
2021-08-11,63.84
2021-08-12,63.62
2021-08-13,63.34
2021-08-14,63.16
2021-08-15,62.91
2021-08-16,62.63
2021-08-17,62.38
